item_code,2020,2021,2022,2023,2024
AKAHP00001,,1970000,2140000,2140000,2140000
AKAKA00001,,,,90000,90000
ALAEY00001,301.6,540.3,586,587,595
ALAEZ00001,990000,1270000,1125000,1094000,1178000
ALAFA00001,895000,1248000,1118000,1081000,1107000
ALAFB00001,1100000,910000,1000000,1318000,1554000
ALAFC00001,1020000,,987000,1121000,1249000
ALAFD00001,635000,961000,1013000,1088000,1015000
ALAFE00001,655000,975000,,,
ALAFF00001,2095000,1923700,,,
ALAFG00001,902000,805000,1035000,981000,996000
ALAFH00001,758000,1100000,1100000,700000,900000
ALAFI00001,1180000,1710000,,,
ALAFJ00001,1140000,1560000,1820000,,
ALAFK00001,1600000,2300000,2450000,,
ALAFL00001,2100000,2600000,2800000,,
ALAFM00001,1410000,1450000,1750000,,
ALAFN00001,2710000,2820000,,,
ALAFO00001,2470,2800,2800,2800,2800
ALAFP00001,1550000,1720000,1700000,1332000,1569000
ALAFQ00001,29160,35870,35870,37660,37660
ALAFR00001,8280,8280,9530,10000,10000
ALAFS00001,2200,3000,3200,3500,3500
ALAFT00001,1940000,2700000,3400000,,
ALAFU00001,1900000,2970000,3080000,,
ALAFV00001,92900,95000,226000,226000,226000
ALAFW00001,72800,93000,113300,113300,113300
ALAFX00001,120000,120000,189200,300000,300000
ALAHU00001,,,1099000,1292000,1121000
ALAHV00001,,,2190000,2146000,2043000
ALAHW00001,,,2650000,2450000,2750000
ALAHX00001,,,2798000,,
ALAKB00001,,,,2498000,2498000
ALAKC00001,,,,1720000,1860000
ALAKD00001,,,,2600000,3000000
ALAKE00001,,,,2650000,3000000
ALAKF00001,,,,1800000,1800000
ALAKG00001,,,,3500,3500
ALAKH00001,,,,3130000,3230000
AMAFY00001,12000,18000,25000,18620,23000
AMAFZ00001,20000,29000,37400,27840,38000
AMAGA00001,70000,300000,227700,169100,185600
AMAGB00001,12000,18000,29700,25270,27700
AMAGC00001,32000,47000,57200,42470,49000
AMAGD00001,25000,36000,45100,33540,37400
AMAGE00001,11000,16000,27500,20520,26700
AMAGF00001,18000,26000,34760,25840,30000
AMAGG00001,25000,39000,55000,40850,44800
AMAGH00001,450000,648000,718300,533240,585100
AMAGI00001,470,470,520,570,570
AMAGJ00001,470,470,520,570,570
AMAGK00001,11500,11500,13300,13300,13300
AMAGL00001,11500,16000,22200,27300,27300
ANAGM00001,18100,18100,18100,,
ANAGN00001,9750,9400,9400,,
ANAGO00001,3638,5787,4900,,
ANAGP00001,2170,2330,2330,,
ANAGQ00001,6520,7070,7070,6860,
ANAGR00001,2170,2330,2330,,
ANAGS00001,2510,,,,
ANAHQ00001,,6238,6559,,
ANAKW00001,,,,9070,9530
ANAKX00001,,,,4500,
ANAKY00001,,,,6560,6890
AOAGT00001,37230,37230,46220,46220,46220
AOAGU00001,47560,48510,60220,60220,60220
AOAGV00001,64360,65650,82200,82220,82220
AOAGW00001,2400000,2400000,2640000,2640000,2640000
AOAGX00001,1300000,1365000,1365000,1365000,1365000
AOAGY00001,103100,106140,131840,131840,131840
AOAGZ00001,1700000,2040000,2346000,2346000,2346000
AOAHA00001,520000,640000,788000,,555000
AOAHB00001,6500,6500,6500,6500,6500
AOAHC00001,1604400,1684620,1684620,1684620,1684620
AOAKZ00001,,,,639910,
APAHD00001,560000,980000,980000,560000,560000
APAHE00001,215000,215000,133000,,
APAHF00001,11000,11000,15000,15000,15000
APAHG00001,277000,277000,277000,260000,260000
APAHH00001,425000,425000,446000,,
APAHI00001,1306000,1306000,1371000,,
APALA00001,,,,446000,446000
AQAHJ00001,,230000,230000,230000,230000
ARAHK00001,,550000,550000,600000,600000
ARAHL00001,,1270000,1270000,499400,499400
ASAHM00001,,1105000,1105000,1105000,3181820
ASAHN00001,,15028200,15028200,13455000,13455000
AUAJI00001,,,,910,910
AUAJK00001,,,,790,790
